ï»¿current_name,states,original_name,current_agency,action,date,year,pres_or_congress,acres_affected
Devils Tower National Monument,Wyoming,Unnamed: 10,NPS,Established,9/24/06,1906,T. Roosevelt,"1,193.91
El Morro National Monument",New Mexico,Unnamed: 18,NPS.1,Established.1,12/8/06,1906.1,T. Roosevelt.1,160
El Morro National Monument,New Mexico.1,Unnamed: 26,NPS.2,Enlarged,6/18/17,1917,W. Wilson,240
Montezuma Castle National Monument,Arizona,Unnamed: 34,NPS.3,Established.2,12/8/06.1,1906.2,T. Roosevelt.2,161.39
Montezuma Castle National Monument,Arizona.1,Unnamed: 42,NPS.4,Enlarged.1,2/23/37,1937,F. D. Roosevelt,360
Montezuma Castle National Monument,Arizona.2,Unnamed: 50,NPS.5,Enlarged.2,11/10/78,1978,95th Congress,13
Montezuma Castle National Monument,Arizona.3,Unnamed: 58,NPS.6,Deleted,11/10/78.1,1978.1,95th Congress.1,5
Petrified Forest National Park,Arizona.4,Petrified Forest National Monument,NPS.7,Established.3,12/8/06.2,1906.3,T. Roosevelt.3,"60,776.02
Petrified Forest National Park",Arizona.5,Petrified Forest National Monument.1,NPS.8,Diminished,7/31/11,1911,W. Taft,"25,625.60
Petrified Forest National Park",Arizona.6,Petrified Forest National Monument.2,NPS.9,Enlarged.3,11/14/30,1930,H. Hoover,"11,010
Petrified Forest National Park",Arizona.7,Petrified Forest National Monument.3,NPS.10,Redesignated NP,3/28/58,1958,85th Congress,
Petrified Forest National Park,Arizona.8,Petrified Forest National Monument.4,NPS.11,Enlarged.4,11/30/31,1931,H. Hoover.1,
Petrified Forest National Park.1,Arizona.9,Petrified Forest National Monument.5,NPS.12,Enlarged.5,9/23/32,1932,H. Hoover.2,"53,300
Chaco Culture National Historical Park",New Mexico.2,Chaco Canyon National Monument,NPS.13,Established.4,3/11/07,1907,T. Roosevelt.4,"10,643.13
Chaco Culture National Historical Park",New Mexico.3,Chaco Canyon National Monument.1,NPS.14,Enlarged.6,1/10/28,1928,C. Coolidge,"21,509.40
Chaco Culture National Historical Park",New Mexico.4,Chaco Canyon National Monument.2,NPS.15,Redesignated Chaco Culture NHP,12/19/80,1980,96th Congress,
Lassen Volcanic National Park,California,Cinder Cone National Monument,NPS.16,Established.5,5/6/07,1907.1,T. Roosevelt.5,"5,120
Lassen Volcanic National Park",California.1,Cinder Cone National Monument.1,NPS.17,Incorporated into Lassen Volcanic NP,8/9/16,1916,64th Congress,
