State,Number of drivers involved in fatal collisions per billion miles,Percentage Of Drivers Involved In Fatal Collisions Who Were Speeding,Percentage Of Drivers Involved In Fatal Collisions Who Were Alcohol-Impaired,Percentage Of Drivers Involved In Fatal Collisions Who Were Not Distracted,Percentage Of Drivers Involved In Fatal Collisions Who Had Not Been Involved In Any Previous Accidents,Car Insurance Premiums ($),Losses incurred by insurance companies for collisions per insured driver ($)
Alabama,18.8,39,30,96,80,784.55,145.08
Alaska,18.1,41,25,90,94,1053.48,133.93
Arizona,18.6,35,28,84,96.1,899.47,110.35
Arkansas,22.4,18,26,94.1,95,827.34,142.39
California,12,35.1,28.1,91,89,878.41,165.63
Colorado,13.6,37,28.2,79,95.1,835.5,139.91
Connecticut,10.8,46,36,87,82,1068.73,167.02
Delaware,16.2,38,30.1,87.1,99,1137.87,151.48
District of Columbia,5.9,34,27,100,100.1,1273.89,136.05
Florida,17.9,21,29,92,94.2,1160.13,144.18
Georgia,15.6,19,25.1,95.2,93,913.15,142.8
Hawaii,17.5,54,41.1,82.1,87.2,861.18,120.92
Idaho,15.3,36.1,29.1,85,98,641.96,82.75
Illinois,12.8,36.2,34.1,94.3,96.2,803.11,139.15
Indiana,14.5,25.2,29.2,95.3,95.4,710.46,108.92
Iowa,15.7,17,25.3,97,87.3,649.06,114.47
Kansas,17.8,27.1,24,77,85.1,780.45,133.8
Kentucky,21.4,19.1,23,78,76,872.51,137.13
Louisiana,20.5,35.2,33,73,98.1,1281.55,194.78
Maine,15.1,38.1,30.2,87.4,84.1,661.88,96.57
Maryland,12.5,34.2,32,71,99.1,1048.78,192.7
Massachusetts,8.2,23.1,35.3,87.5,80.1,1011.14,135.63
Michigan,14.1,24.1,28.3,95.5,77.1,1110.61,152.26
Minnesota,9.6,23.2,29.3,88,88.1,777.18,133.35
Mississippi,17.6,15,31,10,100.2,896.07,155.77
Missouri,16.1,43,34.3,92.1,84.2,790.32,144.45
Montana,21.4.1,39.1,44,84.3,85.2,816.21,85.15
Nebraska,14.9,13,35.4,93.1,90.1,732.28,114.82
Nevada,14.7,37.1,32.1,95.6,99.2,1029.87,138.71
New Hampshire,11.6,35.5,30.3,87.6,83,746.54,120.21
New Jersey,11.2,16,28.4,86,78.1,1301.52,159.85
New Mexico,18.4,19.2,27.2,67,98.2,869.85,120.75
New York,12.3,32.2,29.4,88.2,80.2,1234.31,150.01
North Carolina,16.8,39.2,31.1,94.4,81,708.24,127.82
North Dakota,23.9,23.3,42,99.3,86.1,688.75,109.72
Ohio,14.1.1,28.5,34.4,99.4,82.2,697.73,133.52
Oklahoma,19.9,32.3,29.5,92.2,94.5,881.51,178.86
Oregon,12.8.1,33.1,26.1,67.1,90.2,804.71,104.61
Pennsylvania,18.2,50,31.2,96.3,88.3,905.99,153.86
Rhode Island,11.1,34.5,38.2,92.3,79.1,1148.99,148.58
South Carolina,23.9.1,38.3,41.2,96.4,81.1,858.97,116.29
South Dakota,19.4,31.3,33.2,98.3,86.2,669.31,96.87
Tennessee,19.5,21.1,29.6,82.3,81.2,767.91,155.57
Texas,19.4.1,40,38.4,91.1,87.7,1004.75,156.83
Utah,11.3,43.1,16.1.1,88.4,96.5,809.38,109.48
Vermont,13.6.1,30.4,30.5,96.6,95.7,716.2,109.61
Virginia,12.7,19.3,27.3,87.8,88.5,768.95,153.72
Washington,10.6,42.1,33.3,82.4,86.3,890.03,111.62
West Virginia,23.8,34.6,28.6,97.1,87.9,992.61,152.56
Wisconsin,13.8,36.3,33.4,39.3,84.4,670.31,106.62
Wyoming,17.4,42.2,32.4,81.3,90.3,791.14,122.04
