age,n,alcohol-use,alcohol-frequency,marijuana-use,marijuana-frequency,cocaine-use,cocaine-frequency,crack-use,crack-frequency,heroin-use,heroin-frequency,hallucinogen-use,hallucinogen-frequency,inhalant-use,inhalant-frequency,pain-releiver-use,pain-releiver-frequency,oxycontin-use,oxycontin-frequency,tranquilizer-use,tranquilizer-frequency,stimulant-use,stimulant-frequency,meth-use,meth-frequency,sedative-use,sedative-frequency
12,2798,3.9,3.0,1.1,4.0,0.1,5.0,0.0,-,0.1.1,35.5,0.2,52.0,1.6,19.0,2.0,36.0,0.1.2,24.5,0.2.1,52.0.1,0.2.2,2.0.1,0.0.1,-.1,0.2.3,13.0
13,2757,8.5,6.0,3.4,15.0,0.1.3,1.0,0.0.2,3.0.1,0.0.3,-.2,0.6,6.0.1,2.5,12.0,2.4,14.0,0.1.4,41.0,0.3,25.5,0.3.1,4.0.1,0.1.5,5.0.1,0.1.6,19.0
14,2792,18.1,5.0.2,8.7,24.0,0.1.7,5.5,0.0.4,-.3,0.1.8,2.0.2,1.6.1,3.0.2,2.6,5.0.3,3.9.1,12.0.1,0.4,4.5,0.9,5.0.4,0.8,12.0.2,0.1.9,24.0.1,0.2.4,16.5
15,2956,29.2,6.0.2,14.5,25.0,0.5,4.0.2,0.1.10,9.5,0.2.5,1.0.1,2.1,4.0.3,2.5.1,5.5.1,5.5.2,10.0,0.8.1,3.0.3,2.0.3,4.5.1,1.5,6.0.3,0.3.2,10.5,0.4.1,30.0
16,3058,40.1,10.0.1,22.5,30.0,1.0.2,7.0,0.0.5,1.0.3,0.1.11,66.5,3.4.1,3.0.4,3.0.5,3.0.6,6.2,7.0.1,1.1.1,4.0.4,2.4.1,11.0,1.8,9.5.1,0.3.3,36.0.1,0.2.6,3.0
17,3038,49.3,13.0,28.0,36.0.2,2.0.4,5.0.5,0.1.12,21.0,0.1.13,64.0,4.8,3.0.7,2.0.5,4.0.5,8.5.1,9.0,1.4,6.0.4,3.5,7.0.2,2.8,9.0.1,0.6.1,48.0,0.5.1,6.5
18,2469,58.7,24.0.2,33.7,52.0.2,3.2,5.0.6,0.4.2,10.0.2,0.4.3,46.0,7.0.3,4.0.6,1.8.1,4.0.7,9.2,12.0.3,1.7,7.0.4,4.9,12.0.4,3.0.8,8.0,0.5.2,12.0.5,0.4.4,10.0
19,2223,64.6,36.0.3,33.4,60.0,4.1,5.5.3,0.5.3,2.0.6,0.5.4,180.0,8.6,3.0.9,1.4.1,3.0.10,9.4,12.0.6,1.5.1,7.5,4.2,4.5.2,3.3,6.0.5,0.4.5,105.0,0.3.4,6.0
20,2271,69.7,48.0.1,34.0,60.0.1,4.9.1,8.0.1,0.6.2,5.0.7,0.9.1,45.0,7.4,2.0.7,1.5.2,4.0.8,10.0.3,10.0.4,1.7.1,12.0.7,5.4,10.0.5,4.0.9,12.0.8,0.9.2,12.0.9,0.5.5,4.0
21,2354,83.2,52.0.3,33.0,52.0.4,4.8.1,5.0.8,0.5.6,17.0,0.6.3,30.0.1,6.3,4.0.10,1.4.2,2.0.8,9.0.2,15.0.1,1.3,13.5,3.9.2,7.0.5,4.1.1,10.0.6,0.6.4,2.0.9,0.3.5,9.0
22-23,4707,84.2,52.0.5,28.4,52.0.6,4.5.3,5.0.9,0.5.7,5.0.10,1.1.2,57.5,5.2,3.0.11,1.0.4,4.0.11,10.0.7,15.0.2,1.7.2,17.5,4.4,12.0.10,3.6,10.0.8,0.6.5,46.0.1,0.2.7,52.0
24-25,4591,83.1,52.0.7,24.9,60.0.2,4.0.12,6.0.6,0.5.8,6.0.7,0.7,88.0,4.5.4,2.0.10,0.8.2,2.0.11,9.0.3,15.0.3,1.3.1,20.0,4.3,10.0.9,2.6.1,10.0.10,0.7.1,21.0.1,0.2.8,17.5
26-29,2628,80.7,52.0.8,20.8,52.0.9,3.2.1,5.0.11,0.4.6,6.0.8,0.6.6,50.0,3.2.2,3.0.12,0.6.7,4.0.13,8.3,13.0.1,1.2,13.5.1,4.2.1,10.0.11,2.3,7.0.6,0.6.8,30.0.2,0.4.7,4.0
30-34,2864,77.5,52.0.10,16.4,72.0,2.1.1,8.0.2,0.5.9,15.0.4,0.4.8,66.0,1.8.2,2.0.12,0.4.9,3.5.1,5.9,22.0,0.9.3,46.0.2,3.6.1,8.0.3,1.4.3,12.0.11,0.4.10,54.0,0.4.11,10.0
35-49,7391,75.0,52.0.11,10.4,48.0.2,1.5.3,15.0.5,0.5.10,48.0.3,0.1.14,280.0,0.6.9,3.0.13,0.3.6,10.0.12,4.2.2,12.0.12,0.3.7,12.0.13,1.9,6.0.9,0.6.10,24.0.3,0.2.9,104.0,0.3.8,10.0
50-64,3923,67.2,52.0.12,7.3,52.0.13,0.9.4,36.0.4,0.4.12,62.0,0.1.15,41.0.1,0.3.9,44.0,0.2.10,13.5.2,2.5.2,12.0.14,0.4.13,5.0.12,1.4.4,10.0.13,0.3.10,24.0.4,0.2.11,30.0.3,0.2.12,104.0
65+,2448,49.3.1,52.0.14,1.2.1,36.0.5,0.0.6,-.4,0.0.7,-.5,0.0.8,120.0,0.1.16,2.0.13,0.0.9,-.6,0.6.11,24.0.5,0.0.10,-.7,0.2.13,5.0.13,0.0.11,364.0,0.0.12,-.8,0.0.13,15.0.6
