country,confederation,population_share,tv_audience_share,gdp_weighted_share
United States,CONCACAF,4.5,4.3,11.3
Japan,AFC,1.9,4.9,9.1
China,AFC.1,19.5,14.8,7.3
Germany,UEFA,1.2,2.9,6.3
Brazil,CONMEBOL,2.8,7.1,5.4
United Kingdom,UEFA.1,0.9,2.1,4.2
Italy,UEFA.2,0.9.1,2.1.1,4.0
France,UEFA.3,0.9.2,2.0,4.0
Russia,UEFA.4,2.1.2,3.1,3.5
Spain,UEFA.5,0.7,1.8,3.1
South Korea,AFC.2,0.7.1,1.8.1,3.0
Indonesia,AFC.3,3.5,6.7,2.9
Mexico,CONCACAF.1,1.7,3.2,2.6
Turkey,UEFA.6,1.1,2.3,2.0
Thailand,AFC.4,1.0,2.4,1.6
Argentina,CONMEBOL.1,0.6,1.5,1.6
Netherlands,UEFA.7,0.2,0.6.1,1.5
Poland,UEFA.8,0.6.2,1.2.1,1.3
Saudi Arabia,AFC.5,0.4,0.5,1.2
Taiwan,AFC.6,0.3,0.5.1,1.0
Canada,CONCACAF.2,0.5.2,0.5.3,1.0
Colombia,CONMEBOL.2,0.7.2,1.6,0.9
Venezuela,CONMEBOL.3,0.4.1,1.0.1,0.9
South Africa,CAF,0.7.3,1.3,0.8
Malaysia,AFC.7,0.4.2,0.7.4,0.7
Switzerland,UEFA.9,0.1,0.3.1,0.7
Nigeria,CAF.1,2.3.1,2.6,0.7
Belgium,UEFA.10,0.2.1,0.3.2,0.7
Sweden,UEFA.11,0.1.1,0.3.3,0.7
Vietnam,AFC.8,1.3.1,2.6.1,0.6
Iran,AFC.9,1.1.1,0.7.5,0.6
Chile,CONMEBOL.4,0.3.4,0.6.3,0.6
Romania,UEFA.12,0.3.5,0.7.6,0.6
Austria,UEFA.13,0.1.2,0.3.6,0.6
Singapore,AFC.10,0.1.3,0.2.2,0.6
Australia,AFC.11,0.3.7,0.3.8,0.5
Greece,UEFA.14,0.2.3,0.3.9,0.5
Portugal,UEFA.15,0.2.4,0.4.3,0.5
India,AFC.12,17.6,2.0.1,0.5
Czech Republic,UEFA.16,0.2.5,0.3.10,0.5
Egypt,CAF.2,1.1.2,0.8,0.5
Denmark,UEFA.17,0.1.4,0.2.6,0.5
Norway,UEFA.18,0.1.5,0.1.6,0.4
Peru,CONMEBOL.5,0.4.4,0.8.1,0.4
Ukraine,UEFA.19,0.7.7,0.9.3,0.4
Iraq,AFC.13,0.5.4,0.5.5,0.4
Hungary,UEFA.20,0.1.7,0.3.11,0.4
Kazakhstan,UEFA.21,0.2.7,0.3.12,0.3
Finland,UEFA.22,0.1.8,0.2.8,0.3
Ireland,UEFA.23,0.1.9,0.1.10,0.3
Algeria,CAF.3,0.5.6,0.4.5,0.3
Cuba,CONCACAF.3,0.2.9,0.3.13,0.3
Ecuador,CONMEBOL.6,0.2.10,0.5.7,0.3
Slovakia,UEFA.24,0.1.11,0.2.11,0.3
Qatar,AFC.14,0.0,0.0.1,0.2
Kuwait,AFC.15,0.0.2,0.1.12,0.2
Bulgaria,UEFA.25,0.1.13,0.2.12,0.2
Serbia,UEFA.26,0.1.14,0.3.14,0.2
Belarus,UEFA.27,0.1.15,0.2.13,0.2
Hong Kong,AFC.16,0.1.16,0.1.17,0.2
Croatia,UEFA.28,0.1.18,0.1.19,0.1
Oman,AFC.17,0.0.3,0.0.4,0.1
Dominica Republic,CONCACAF.4,0.1.20,0.2.14,0.1
Azerbaijan,UEFA.29,0.1.21,0.1.22,0.1
New Zealand,OFC,0.1.23,0.1.24,0.1
Lithuania,UEFA.30,0.0.5,0.1.25,0.1
Slovenia,UEFA.31,0.0.6,0.1.26,0.1
Uruguay,CONMEBOL.7,0.0.7,0.1.27,0.1
Costa Rica,CONCACAF.5,0.1.28,0.2.15,0.1
Uzbekistan,AFC.18,0.4.6,0.5.8,0.1
Yemen,CAF.4,0.3.15,0.4.7,0.1
Israel,UEFA.32,0.1.29,0.1.30,0.1
El Salvador,CONCACAF.6,0.1.31,0.2.16,0.1
Syria,AFC.19,0.3.16,0.3.17,0.1
Pakistan,AFC.20,2.5,0.4.8,0.1
Guatemala,CONCACAF.7,0.2.17,0.2.18,0.1
Paraguay,CONMEBOL.8,0.1.32,0.2.19,0.1
Panama,CONCACAF.8,0.1.33,0.1.34,0.1
Bosnia-Herzegovina,UEFA.33,0.1.35,0.1.36,0.1
