id,candidate,song,artist,sentiment,theme,album_release_date,line,url
1,Mike Huckabee,None Shall Pass,Aesop Rock,neutral,N/A,2011,"Wither by the watering hole, Border patrol / What are we to Heart Huckabee",http://genius.com/Aesop-rock-none-shall-pass-lyrics
2,Mike Huckabee.1,Wellstone,Soul Khan,negative,N/A.1,2012,Might find the door but never touch the key / They get tricked by slick Mike Huckabee,http://genius.com/Soul-khan-wellstone-lyrics
3,Jeb Bush,Awe,Dez & Nobs,neutral.1,N/A.2,2006,I heard Jeb Bush looking for a (inaudible),http://genius.com/Dez-and-nobs-awe-lyrics
4,Jeb Bush.1,The Truth,Diabolic,negative.1,political,2006.1,What you heard before ain't as big of a lesson / As George and Jeb Bush rigging elections,http://genius.com/Diabolic-the-truth-lyrics
5,Jeb Bush.2,Money Man,Gorilla Zoe,negative.2,personal,2007,I'm comin back from Florida / Wit Jeb Bush and his daughter,http://genius.com/Gorilla-zoe-money-man-lyrics
6,Jeb Bush.3,Hidden Agenda,K-Rino,negative.3,political.1,2012.1,The Rockefeller's and the Bush family in the same box G / Henry Ford all of them supported the Nazis,http://genius.com/K-rino-hidden-agenda-lyrics
7,Jeb Bush.4,Bricks and Marijuana,Kase,neutral.2,N/A.3,2001,When Jeb Bush pushing life / If I tout my weapon,http://genius.com/Trick-daddy-bricks-and-marijuana-lyrics
8,Jeb Bush.5,Bush Song,Macklemore,negative.4,political.2,2005,"Way to go Jeb, really great strategy",http://genius.com/Macklemore-bush-song-lyrics
9,Jeb Bush.6,Shoot Me in the Head,R.A. The Rugged Man,negative.5,political.3,2013,"Obama nation, the Bushes, the Clintons or '80s Reaganomics / It don't matter, the government always be taking your profits",http://genius.com/Ra-the-rugged-man-shoot-me-in-the-head-lyrics
10,Jeb Bush.7,Chamber of Fear,RZA,neutral.3,personal.1,2005.1,Bobby got Bush like George and Jeb,http://genius.com/Rza-chamber-of-fear-lyrics
11,Jeb Bush.8,Tell Me Why,Zeno,neutral.4,personal.2,2005.2,I was promised eternal life from the beginning / But look at Bush and his brother,http://genius.com/Vanilla-ice-tell-me-why-lyrics
12,Ben Carson,Next Black President,King Los,positive,N/A.4,2011.1,I was the heart transplant when hip hop died / Verbally Iå'm Ben Carson,http://genius.com/King-los-next-black-president-lyrics
13,Chris Christie,Daydreaming,Awkwafina,neutral.5,N/A.5,2014,"Chris Christie, you a man beast",http://genius.com/Awkwafina-daydreaming-lyrics
14,Chris Christie.1,Brass Tacks,Chris Webby,neutral.6,N/A.6,2016,Eating rappers like I got the appetite of Chris Christie,http://genius.com/Chris-webby-brass-tacks-lyrics
15,Ted Cruz,PNT,Apollo Brown & Ras Kass,negative.6,political.4,2015,Fuck Fox News and fuck Ted Cruz,http://genius.com/Apollo-brown-and-ras-kass-pnt-lyrics
