Performer,Show,Show Start,Show End,Status?,CharEnd,Years Since,#LEAD,#SUPPORT,#Shows,Score,Score/Y,lead_notes,support_notes,show_notes
Steven Hill,Law & Order,1990,2010,END,2000,15,0,0.1,0.2,0.3,0.4,Unnamed: 26,Unnamed: 27,
Kelli Williams,The Practice,1997,2014,END.1,2003,12,0.5,1,6,6.25,0.520833333,Unnamed: 40,Any Day Now (2012),"Medical Investigation, Season 1; Lie To Me, Season 1-3; Army Wives, Season 6-7
LisaGay Hamilton",The Practice.1,1997.1,2014.1,END.2,2003.1,12.1,2,0.6,2.1,4,0.333333333,"Life of a King, 2014; Go For Sisters, 2013",Unnamed: 55,"Men of a Certain Age, Season 1-2
Lara Flynn Boyle",The Practice.2,1997.2,2014.2,END.3,2003.2,12.2,0.7,0.8,0.9,0.10,0.11,Unnamed: 68,Unnamed: 69,
Dylan McDermott,The Practice.3,1997.3,2014.3,END.4,2004,11,2.2,7,6.1,9.75,0.886363636,"Olympus Has Fallen, 2013; Freezer, 2014","The Messengers, 2007; Unbeatable Harold, 2009; Burning Palms, 2011; The Perks of Being a Wallflower, 2012; Nobody Walks, 2012; Behaving Badly, 2014; Automata, 2014","Big Shots, Season 1; Dark Blue, Season 1-2; American Horror Story, Season 1; Hostages, Season 1; Stalker, Season 1
Camryn Manheim",The Practice.4,1997.4,2014.4,END.5,2004.1,11.1,0.12,4.1,5,6.2,0.545454545,"The Hot Flashes, 2013","Twisted, 2004; Dark Water, 2005; An Unfinished Life, 2005; Fort McCoy, 2014","The Gosts Whisperer, Season 2-5; Extant, Season 1
Steve Harris",The Practice.5,1997.5,2014.5,END.6,2004.2,11.2,0.13,2.3,3,3.5,0.318181818,Unnamed: 110,"12 Rounds, 2009; Takers, 2010","Heist, Season 1; Awake, Season 1; Legends, Season 1
Marla Sokoloff",The Practice.6,1997.6,2014.6,END.7,2004.3,11.3,0.14,1.1,1.2,1.25,0.113636364,Unnamed: 124,"Play The Game, 2009","Big Day, Season 1; 
Jerry Orbach",Law & Order.1,1990.1,2010.1,END.8,2004.4,11.4,0.15,0.16,0.17,0.18,0.19,Unnamed: 138,Unnamed: 139,
Michael Badalucco,The Practice.7,1997.7,2014.7,END.9,2004.5,11.5,0.20,1.3,0.21,0.25,0.022727273,Unnamed: 152,"Bewitched, 2005",
Michael C. Hall,Six Feet Under,2001,2005,END.10,2005.1,10,3.1,1.4,10.1,13.25,1.325,"Gamer, 2009; The Trouble With Bliss, 2012; Cold in July, 2014","Kill Your Darlings, 2013","Dexter: Early Cuts, Season 1-2; Dexter, Season 1-8
Joe Mantegna",Joan of Arcadia,2003.3,2005.2,END.11,2005.3,10.2,0.22,7.1,9,10.75,1.075,Unnamed: 180,"The Kid & I, 2005; The Simpsons Movie, 2007; Redbelt, 2008; Archie's Final Project, 2010; The Assistants, 2010; Cars 2, 2011; Compulsion, 2013","The Starter Wife, Season 1; Criminal Minds, Season 3-10
Peter Krause",Six Feet Under.1,2001.1,2005.4,END.12,2005.5,10.3,1.5,1.6,8,9.25,0.925,"Steep, 2007","Beastly, 2011","The Lost Room, Season 1; Dirty Sexy Money, Season 1-2; Parenthood, Season 1-5
Rachel Griffiths",Six Feet Under.2,2001.2,2005.6,END.13,2005.7,10.4,1.7,2.4,7.2,8.5,0.85,"Patrick: Evil Awakens, 2014","Step Up, 2006; Saving Mr. Banks, 2013","Brothers & Sisters, Seasons 1-5; Camp, Season 1; House Husbands, Season 3
Jason Ritter",Joan of Arcadia.1,2003.4,2005.8,END.14,2005.9,10.5,5.1,9.1,7.3,14.25,1.425,"The Perfect Family, 2012; A Bag of Hammers, 2012; The Big Ask, 2014; About Alex, 2014; Always Woodstock, 2014","W., 2008; The Perfect Age of Rock n Roll, 2011; Brooklyn Brothers Beat the Best, 2012; The End of Love, 2013; Morning, 2013; I Am I, 2014; We'll Never have Paris, 2015; Hits, 2015; Wild Canaries, 2015","The Class, Season 1; The Event, Season 1; Parenthood, Season 3-4; Us and Them season 1; Gravity Falls, Season 1-2
Freddy RodrÕguez",Six Feet Under.3,2001.3,2005.10,END.15,2005.11,10.6,2.5,4.2,5.2,8.1,0.8.1,"Nothing Like the Holidays, 2008; CBGB, 2013","Harsh Times, 2006; Bobby, 2006; Grindhouse, 2007; Fort Bliss, 2014","Ugly Betty, Season 2; Chaos, Season 1; Kaijudo: Rise of the Duel Masters, Season 1; The Night Shift, Season 1-2
Frances Conroy",Six Feet Under.4,2001.4,2005.12,END.16,2005.13,10.7,0.23,6.3,4.3,5.5,0.55,Unnamed: 250,"The Wicker Man, 2006; The Seeker: The Dark Is Rising, 2007; The Tale of Despereaux, 2008; Stone, 2010; Bloodworth, 2011; 6 Souls, 2013","Happy Town, Season 1; American Horror Story, Season 1,3-4
Lauren Ambrose",Six Feet Under.5,2001.5,2005.14,END.17,2005.15,10.8,1.8,5.3,3.2,5.25,0.525,"Diggers, 2007","Cold Souls, 2009; Where the Wild Things Are, 2009; Wanderlust, 2012; Grassroots, 2012; Sleepwalk with Me, 2012","The Return of Jezebel James, Season 1; Torchwood, Season 4; Dig, Season1; 
Amber Tamblyn",Joan of Arcadia.2,2003.5,2005.16,END.18,2005.17,10.9,3.3,2.6,3.4,6.5,0.65,"The Grudge 2, 2006; The Sisterhood of the Traveling Pants 2, 2008; 3 Nights in the Desert, 2015","Beyond a Reasonable Doubt, 2009; 127 Hours, 2010","House Season 7; The Unusuals, Season 1; Two and a Half Men, Season 11
Justina Machado",Six Feet Under.6,2001.6,2005.18,END.19,2005.19,10.10,0.24,3.5.1,2.7,2.75,0.275,Unnamed: 292,"The Call, 2013; The Purge: Anarchy, 2014; The Last of Robin Hood, 2014","Three Rivers, Season 1; Welcome to the Family, Season 1
Mary Steenburgen",Joan of Arcadia.3,2003.6,2005.20,END.20,2005.21,10.11,0.25.1,10.12,2.8,4.5,0.45,Unnamed: 306,"The Brave One, 2007; Nobel Son, 2008; The Proposal, 2009; The Open Road, 2009; Did You Hear About the Morgans?, 2009; The Help, 2011; Dirty Girl, 2011; Last Vegas, 2013; the One I Love, 2014; Kaguyahime no monogatari, 2015","Bored to Death, Season 3; Justified, Season 6 
Mathew St. Patrick",Six Feet Under.7,2001.7,2005.22,END.21,2005.23,10.13,0.26,1.9,1.10,1.25.1,0.125,Unnamed: 320,"War, 2007","Reunion, Season 1
Michael Welch",Joan of Arcadia.4,2003.7,2005.24,END.22,2005.25,10.14,0.27,8.2,1.11,3.6,0.3.1,Unnamed: 334,"Remember the Daze, 2008; Twilight, 2008; The Twilight Saga: New Moon, 2009; The Twilight Saga: Eclipse, 2010; The Twilight Saga: Breaking Dawn Part 1, 2011; Grace Unplugged, 2013; All The Boys Love Mandy Lane, 2013; Boys of AbuGhraib, 2014","Z Nation, Season 1
Aaron Himelstein",Joan of Arcadia.5,2003.8,2005.26,END.23,2005.27,10.15,2.9,4.4,1.12,4.5.1,0.4.1,"The Assistants, 2010; Losers take All, 2013","Remember the Daze, 2008; The Informers, 2009; All the Boys love Mandy Lane, 2013; Captain America: The Winter Soldier, 2014","Doll & Em, Season 1, The Legend of Korra, Season 2
Becky Wahlstrom",Joan of Arcadia.6,2003.9,2005.28,END.24,2005.29,10.16,0.28,0.29,0.30,0.31,0.32,Unnamed: 362,Unnamed: 363,
Chris Marquette,Joan of Arcadia.7,2003.10,2005.30,END.25,2005.31,10.17,1.13,6.4,0.33,2.5.1,0.25.2,"Fanboys, 2009","Just Friends, 2005; The Invisible, 2007; Remember the Daze, 2008; The Rite, 2011; The Double, 2011; 10 Rules for Sleeping Around, 2014",
Mageina Tovah,Joan of Arcadia.8,2003.11,2005.32,END.26,2005.33,10.18,0.34,1.14,0.35,0.25.3,0.025,Unnamed: 390,SpongeBob Squarepants: The Movei,
Rob Lowe,The West Wing,1999,2006,END.27,2006.1,9.2,3.7,2.10,9.3,12.5,1.388888889,"Breakaway, 2011; I Melt With You, 2011; Knife Fight, 2013","Thank You For Smoking, 2006; Sex Tape, 2014","Dr. Vegas, Season 1; Brothers and Sisters, Season 1-4; Parks & Recreations Season 3-6
Dul_ Hill",The West Wing.1,1999.1,2006.2,END.28,2006.3,9.4,0.36,2.11,8.3,8.5.1,0.944444444,Unnamed: 418,"The Guardian, 2006; Gayby, 2012","Psych, Season 1-8
Dayton Callie",Deadwood,2004.6,2006.4,END.29,2006.5,9.5,0.37,0.38,8.4,8.5.2,0.888888889,Unnamed: 432,Unnamed: 433,"John from Cincinatti, Season 1; Sons of Anarchy, Season 1-7
Timothy Olyphant",Deadwood.1,2004.7,2006.6,END.30,2006.7,9.6,3.8,7.4,7.5,11.75,1.305555556,"A Perfect Getaway, 2009; The Crazies, 2010; Dealin with Idiots, 2014","Live Free or Die Hard, 2007; Stop Loss, 2008; Meet Bill, 2008; I am Number Four, 2011; Rango, 2011; Elektra Luxx, 2011; This is where I leave you, 2014","Damages, Season 2; Justified, Season 1-6
Joshua Malina",The West Wing.2,1999.2,2006.8,END.31,2006.9,9.7,0.39,1.15,6.5.1,6.25.1,0.694444444,Unnamed: 460,"The First Time, 2012","Big Shots, Season 1; Backwash, Season 1; Scandal, Season 1-4
Anna Gunn",Deadwood.2,2004.8,2006.10,END.32,2006.11,9.8,0.40,0.41,6.6,6.7,0.666666667,Unnamed: 474,Unnamed: 475,"Breaking Bad, Season 1-5; Gracepoint, Season 1
Allison Janney",The West Wing.3,1999.3,2006.12,END.33,2006.13,9.9,4.6,17,5.4,13.25.1,1.472222222,"The Oranges, 2012; The Way Way Back, 2013; Brightest Star, 2014; Days and Nights, 2014","Hairspray, 2007; Juno, 2007; Away we Go, 2009; Pretty Ugly People, 2009; The Help, 2011; Margaret, 2011; A Thousand Words, 2012; Liberal Arts, 2012; Struck by Lightening, 2013; Touchy Feely, 2013; Mr. Peabody & Sherman, 2014; Bad Words, 2014; Trust Me, 2014; Tammy, 2014; Get on Up, 2014; The Rewrite, 2015; The Duff, 2015","Mr. Sunshine, Season 1; Masters of Sex, Season 1; Mom, Season 1-3
Drea de Matteo",The Sopranos,1999.4,2007,END.34,2006.14,9.10,1.16,1.17,5.5.1,6.25.2,0.694444444.1,"New York, I Love You, 2009","Broken English, 2007","Joey, Season 1-2; Desperate Housewives, Season 6; Sons of Anarchy Season 6-7
Paula Malcomson",Deadwood.3,2004.9,2006.15,END.35,2006.16,9.11,0.42,3.9,5.6,5.75,0.638888889,Unnamed: 516,"The Hunger Games, 2012; The Hinger Games: Catching Fire, 2013; The Hunger Games: Mockingjay - Part 1, 2014","John From Cincinatti, Season 1; Sons of Anarchy, Season 3; Caprica, Season 1; Ray Donovan, Season 1-2;
Leon Rippy",Deadwood.4,2004.10,2006.17,END.36,2006.18,9.12,0.43,2.12,5.7,5.5.2,0.611111111,Unnamed: 530,"Gridiron Gang, 2006; The Lone Ranger, 2013","Saving Grace, Season 1-3; Alcatraz, Season 1; 
Kim Dickens",Deadwood.5,2004.11,2006.19,END.37,2006.20,9.13,0.44,3.10,5.8,5.75.1,0.638888889.1,Unnamed: 544,"Thank You For Smoking, 2006; The Blind Side, 2009; Gone Girl, 2014","12 Miles of Bad Road, Season 1; Treme, Season 1-4
Bradley Whitford",The West Wing.4,1999.5,2006.21,END.38,2006.22,9.14,1.18,2.13,4.7,5.5.3,0.611111111.1,"The Cabin In The Woods, 2012","Saving Mr. Banks, 2013; Decoding Annie Parker, 2014","Studio 60 on the Sunset Strip, Season 1; The Good Guys, Season 1; Lauren, Season 2; Trophy Wife, Season 1
Molly Parker",Deadwood.6,2004.12,2006.23,END.39,2006.24,9.15,1.19,3.11,4.8,5.75.2,0.638888889.2,"The Playroom, 2013","The Wicker Man, 2006; Hollywoodland, 2006; That's What I Am, 2011","Swingtown, Season 1; The Firm, Season 1; House of Cards, Season 2-3
William Sanderson",Deadwood.7,2004.13,2006.25,END.40,2006.26,9.16,0.45.1,0.46,4.9,4.10,0.444444444,Unnamed: 586,Unnamed: 587,"Bar Karma, Season 1; True Blood, Season 1-3
Sean Bridgers",Deadwood.8,2004.14,2006.27,END.41,2006.28,9.17,0.47,2.14,3.12,3.5.2,0.388888889,Unnamed: 600,"Jug Face, 2013; The Best of Me, 2014","12 Miles of Bad Road, Season 1; Rectify Season 1-2
Richard Schiff",The West Wing.5,1999.6,2006.29,END.42,2006.30,9.18,2.15,7.6,2.16,5.75.3,0.638888889.3,"Knife Fight, 2013; Decoding Annie Parker, 2014","The Martian Child, 2007; Imagine That, 2009; Johnny English Reborn, 2011; Man of Steel, 2013; Kill the Messenger, 2014; Before I Disappear, 2014; The Gambler, 2014","Past Life, Season 1; Murder in the First, Season 1
Ian McShane",Deadwood.9,2004.15,2006.31,END.43,2006.32,9.19,1.20,13,2.17,6.25.3,0.694444444.2,"Pirates of the Carribean: On Stranger Tides, 2011","We Are Marshall, 2006; Shrek the Third, 2007; Hot Rod, 2007; The Seeker: The Dark is Rising, 2007; Kung Fu Panda, 2008; Death Race, 2008; Coraline, 2009; Case 39, 2010; Snow White and the Huntsman, 2012; Jack the Giant Slayer, 2013; Cuban Fury, 2014; Hercules, 2014; John Wick, 2014;","Kings, Season 1; The Pillars of the Earth, Season 1
John Hawkes",Deadwood.10,2004.16,2006.33,END.44,2006.34,9.20,6.8,7.7,2.18,9.75.1,1.083333333,"Earthwork, 2011; The Sessions, 2012; The Playroom, 2013; The Pardon, 2013; Life of Crime, 2014; Low Down, 2014","Miami Vice, 2006; American Gangster, 2007; Winter's Bone, 2010; Higher Ground, 2011; Contagion, 2011; Martha Marcy May Marlene, 2011; Lincoln, 2012; ","Eastbound & Down, Season 1&4
Robin Weigert",Deadwood.11,2004.17,2006.35,END.45,2006.36,9.21,1.21,3.13,2.19,3.75,0.416666667,"Concussion, 2013","Synechdoche, New York, 2008; My One And Only, 2009; The Sessions, 2012","Life, Season 1; Sons of Anarchy, Season 6; 
Jim Beaver",Deadwood.12,2004.18,2006.37,END.46,2006.38,9.22,0.48,0.49,2.20,2.21,0.222222222,Unnamed: 670,Unnamed: 671,"John from Cincinnati, Season 1; Harper's Island, Season 1; 
Powers Boothe",Deadwood.13,2004.19,2006.39,END.47,2006.40,9.23,0.50,4.11,2.22,3.14,0.333333333.1,Unnamed: 684,"The Final Season, 2007; MacGruber, 2010; The Avengers, 2012; Sin City: A Dame to Kill For, 2014","24, Season 6; Nashville, Season 1
Titus Welliver",Deadwood.14,2004.20,2006.41,END.48,2006.42,9.24,1.22,6.9,2.23,4.5.2,0.5.1,"Poker Night, 2014","Gone Baby Gone, 2007; The Town, 2010; Man on a Ledge, 2012; Argo, 2012; Promised Land, 2012; Transformers: Age of Extinction, 2014","Sons of Anarchy, Season 3; Bosch, Season 1
Keone Young",Deadwood.15,2004.21,2006.43,END.49,2006.44,9.25.1,0.51,0.52,2.24,2.25,0.222222222.1,Unnamed: 712,Unnamed: 713,"American Dragon Jake Long, Season 1-2
Janel Moloney",The West Wing.6,1999.7,2006.45,END.50,2006.46,9.26,0.53,1.23,1.24,1.25.2,0.138888889,Unnamed: 726,"Concussion, 2013.1","Brotherhood, Season 2
Melissa Fitzgerald",The West Wing.7,1999.8,2006.47,END.51,2006.48,9.27,0.54,0.55.1,1.25.3,1.26,0.111111111,Unnamed: 740,Unnamed: 741,"Chasing the Hill, Season 1
W. Earl Brown",Deadwood.16,2004.22,2006.49,END.52,2006.50,9.28,0.56,6.10,1.27,2.5.2,0.277777778,Unnamed: 754,"Bloodworth, 2011; The Sessions, 2012; The Lone Ranger, 2013; Draft Day, 2014; Beneath the Harvest Sky, 2014; Wild, 2014","American Crime, Season 1
John Spencer",The West Wing.8,1999.9,2006.51,END.53,2006.52,9.29,0.57,0.58,0.59,0.60,0.61,Unnamed: 768,Unnamed: 769,
Martin Sheen,The West Wing.9,1999.10,2006.53,END.54,2006.54,9.30,2.26,9.31,0.62,4.25,0.472222222,"The Way, 2011; Stella Days, 2012","The Departed, 2006; Bobby, 2006; Talk to Me, 2007; Imagine That, 2009; The Double, 2011; Seeking a Friend for the End of the World, 2012; The Amazing Spider-Man, 2012; The Amazing Spider-Man 2, 2014; Selma, 2014",
NiCole Robinson,The West Wing.10,1999.11,2006.55,END.55,2006.56,9.32,0.63,0.64,0.65.1,0.66,0.67,Unnamed: 796,Unnamed: 797,
