Unnamed: 0,Pct. Of major sports searches,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,
DMA,NFL,NBA,MLB,NHL,NASCAR,CBB,CFB,Trump 2016 Vote%
Abilene-Sweetwater TX,45%,21%,14%,2%,4%,3%,11%,79.13%
Albany GA,32%,30%,9%,1%,8%,3%.1,17%,59.12%
Albany-Schenectady-Troy NY,40%,20%,20%.1,8%.1,6%,3%.2,4%.1,44.11%
Albuquerque-Santa Fe NM,53%,21%.1,11%.1,3%.3,3%.4,4%.2,6%.1,39.58%
Alexandria LA,42%,28%,9%.1,1%.1,5%,3%.5,12%,69.64%
Alpena MI,28%.1,13%,21%.2,12%.1,10%,7%,9%.2,63.61%
Amarillo TX,47%,22%,12%.2,2%.1,5%.1,3%.6,10%.1,77.54%
Atlanta GA,36%,28%.2,10%.2,3%.7,5%.2,5%.3,14%.1,47.58%
Augusta GA,39%,26%,8%.2,3%.8,8%.3,4%.3,13%.1,52.77%
Austin TX,40%.1,29%,11%.2,3%.9,3%.10,3%.11,11%.3,40.01%
Bakersfield CA,48%,26%.1,14%.2,3%.12,4%.4,1%.2,3%.13,53.54%
Baltimore MD,45%.1,20%.2,20%.3,5%.4,3%.14,3%.15,4%.5,39.28%
Bangor ME,39%.1,20%.4,19%,9%.3,8%.4,2%.2,3%.16,50.99%
Baton Rouge LA,40%.2,29%.1,8%.5,2%.3,3%.17,3%.18,15%,54.96%
Beaumont-Port Arthur TX,45%.2,27%,12%.3,1%.3,4%.6,2%.4,9%.4,64.65%
Bend OR,39%.2,24%,13%.2,4%.7,4%.8,3%.19,13%.3,"46.36%
""Billings"," MT""",50%,17%.1,12%.4,5%.5,5%.6,4%.9,7%.1,63.77%
Biloxi-Gulfport MS,43%,23%,9%.5,2%.5,6%.2,3%.20,14%.3,67.78%
Binghamton NY,41%,19%.1,17%.2,9%.6,7%.2,3%.21,4%.10,53.49%
Birmingham AL,26%.2,22%.1,10%.3,2%.6,6%.3,6%.4,27%.1,62.35%
Bluefield-Beckley-Oak Hill WV,34%,20%.5,10%.4,2%.7,13%.4,6%.5,14%.4,74.16%
Boise ID,43%.1,20%.6,11%.4,4%.11,4%.12,4%.13,14%.5,55.59%
Boston MA-Manchester NH,37%,25%,17%.3,12%.5,3%.22,2%.8,3%.23,35.40%
Bowling Green KY,36%.1,18%,10%.5,4%.14,6%.6,16%,11%.5,66.41%
Buffalo NY,41%.1,16%.1,11%.6,23%.1,4%.15,2%.9,3%.24,51.79%
Burlington VT-Plattsburgh NY,36%.2,19%.2,18%.1,14%.6,7%.3,3%.25,3%.26,34.79%
Butte-Bozeman MT,48%.1,17%.4,12%.6,8%.6,4%.16,4%.17,8%.7,48.18%
Casper-Riverton WY,53%.1,16%.2,10%.6,5%.7,5%.8,4%.18,7%.4,71.09%
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,39%.3,20%.7,15%.1,4%.19,6%.7,6%.8,10%.7,45.30%
Champaign & Springfield-Decatur IL,30%.1,24%.1,25%.1,6%.9,6%.10,5%.9,5%.10,55.92%
Charleston SC,40%.3,22%.2,10%.8,4%.20,6%.11,5%.11,14%.7,48.74%
Charleston-Huntington WV,33%,19%.3,10%.9,3%.27,10%.10,14%.8,12%.7,69.61%
Charlotte NC,41%.2,23%.2,9%.7,3%.28,10%.11,6%.12,8%.8,53.45%
Charlottesville VA,37%.1,22%.3,12%.8,5%.12,7%.5,8%.9,9%.8,39.58%
Chattanooga TN,31%,21%.3,11%.7,3%.29,9%.9,4%.21,20%.8,68.63%
Cheyenne WY-Scottsbluff NE,51%,16%.3,11%.8,5%.13,5%.14,3%.30,10%.12,64.88%
