name,team,games,category,desc.,year,source
F. Davis,WAS,Indef.,"Substance abuse, repeated offense",Marijuana-related,2014,http://www.cbssports.com/nfl/eye-on-football/24448694/redskins-te-fred-davis-suspended-Indefiniteinitely-by-nfl
J. Blackmon,JAX,Indef..1,"Substance abuse, repeated offense.1",Unnamed: 16,2014.1,http://espn.go.com/nfl/story/_/id/11257934/justin-blackmon-jacksonville-jaguars-arrested-marijuana-possession
L. Brazill,IND,Indef..2,"Substance abuse, repeated offense.2",Unnamed: 22,2014.2,http://www.nfl.com/news/story/0ap2000000364622/article/lavon-brazill-released-by-colts-in-wake-of-suspension
T. Jackson,WAS.1,Indef..3,"Substance abuse, repeated offense.3",Unnamed: 28,2014.3,http://www.nfl.com/news/story/0ap2000000364087/article/tanard-jackson-suspended-Indefiniteinitely-by-nfl
M. Hapes,NYG,Indef..4,Personal conduct,Gambling-related,1946,http://espn.go.com/blog/nflnation/tag/_/name/frank-filchock
R. Rice,BAL,Indef..5,Personal conduct.1,Domestic violence,2014.4,http://espn.go.com/new-york/nfl/story/_/id/11489134/baltimore-ravens-cut-ray-rice-new-video-surfaces
F. Filchock,NYG.1,36,Personal conduct.2,Gambling-related.1,1947,http://espn.go.com/blog/nflnation/tag/_/name/frank-filchock
J. Jolly,GB,32,"Substance abuse, repeated offense.4","Arrest, felony possession of codeine",2010,http://www.nfl.com/news/story/0ap1000000145928/article/johnny-jolly-reinstated-by-nfl-after-Indefiniteinite-suspension
O. Thurman,CIN,32.1,"Substance abuse, repeated offense.5",Unnamed: 58,2008,http://www.nfl.com/news/story/09000d5d80864644/article/bengals-release-reinstated-thurman-after-twoyear-suspension
A. Jones,TEN,20,Personal conduct.3,Multiple arrests,2007,http://sports.espn.go.com/nfl/news/story?id=2832015
A. Schlichter,IND.1,16,Personal conduct.4,Gambling-related.2,1983,http://espn.go.com/blog/nflnation/tag/_/name/frank-filchock
D. Stallworth,NE,16.1,Personal conduct.5,DUI manslaughter,2009,http://espn.go.com/blog/nflnation/tag/_/name/frank-filchock
W. Bryant,ARI,16.2,"Substance abuse, repeated offense.6",Unnamed: 82,2005,http://www.azcentral.com/sports/cardinals/articles/2009/05/13/20090513cards0514.html
J. Evans,TEN.1,16.3,"Substance abuse, repeated offense.7",Unnamed: 88,2000,http://articles.philly.com/2000-06-21/sports/25602268_1_linebacker-george-koonce-linebacker-na-il-diggs-draft
T. Jackson,TB,16.4,"Substance abuse, repeated offense.8",Unnamed: 94,2012,http://www.nfl.com/news/story/0ap2000000364087/article/tanard-jackson-suspended-Indefiniteinitely-by-nfl
D. Washington,ARI.1,16.5,"Substance abuse, repeated offense.9",Marijuana-related.1,2014.5,http://www.nfl.com/news/story/0ap2000000354739/article/daryl-washington-suspended-for-at-least-one-year
B. Williams,PHI,16.6,"Substance abuse, repeated offense.10",Marijuana-related.2,2001,http://articles.philly.com/2001-04-05/sports/25330303_1_training-camp-eagles-marijuana
R. Williams,MIA,16.7,"Substance abuse, repeated offense.11",Unnamed: 112,2006,http://sports.espn.go.com/nfl/news/story?id=2421774
S. Wilson,CIN.1,16.8,"Substance abuse, repeated offense.12",Cocaine-related,1989,http://www.enquirer.com/editions/1999/01/31/spt_hard_fall_for_man.html
J. Gordon,CLE,16.9,"Substance abuse, repeated offense.13",Marijuana-related.3,2014.6,http://espn.go.com/nfl/story/_/id/11418388/josh-gordon-cleveland-browns-suspended-one-year
O. Smith,MIN,16.10,"Substance abuse, repeated offense.14","Found with dried urine and ""The Original Whizzinator""",2005.1,http://sports.espn.go.com/nfl/news/story?id=2079032
K. Robinson,GB.1,16.11,"Substance abuse, repeated offense.15",Unnamed: 136,2006.1,http://sports.espn.go.com/nfl/news/story?id=2629860
P. Hornung,GB.2,14,Personal conduct.6,Gambling-related.3,   ,http://espn.go.com/blog/nflnation/tag/_/name/frank-filchock
A. Karras,DET,14.1,Personal conduct.7,Gambling-related.4,1963,http://www.usatoday.com/story/sports/nfl/lions/2012/10/10/alex-karras-obituary-detroit-lions/1623419/
J. Brent,DAL,10,Personal conduct.8,DUI manslaughter.1,2014.7,http://www.nfl.com/news/story/0ap3000000388413/article/dallas-cowboys-josh-brent-suspended-10-weeks
D. Evans,SEA,8,"PEDs, repeated offense",Unnamed: 160,2013,http://www.nfl.com/news/story/0ap1000000236542/article/dequin-evans-suspended-eight-bengals-games-for-peds
J. Ferguson,FREE,8.1,"PEDs, repeated offense.1",Unnamed: 166,2010.1,http://sports.espn.go.com/nfl/news/story?id=4973457
A. Jackson,BAL.1,8.2,"PEDs, repeated offense.2",Unnamed: 172,2013.1,http://www.nfl.com/news/story/0ap1000000225102/article/ravens-asa-jackson-banned-8-games-for-violating-ped-policy
W. Saunders,IND.2,8.3,"PEDs, repeated offense.3",Unnamed: 178,2013.2,http://espn.go.com/nfl/story/_/id/9509539/indianapolis-colts-release-weslye-saunders
H. Thomas,FREE.1,8.4,"PEDs, repeated offense.4",Unnamed: 184,2010.2,http://profootballtalk.nbcsports.com/2010/07/01/hollis-thomas-career-could-end-with-suspension/
R. Tucker,CLE.1,8.5,"PEDs, repeated offense.5",Unnamed: 190,2010.3,http://profootballtalk.nbcsports.com/2010/03/07/ryan-tucker-jason-ferguson-suspended-eight-games-each/
C. Henry,CIN.2,8.6,Personal conduct.9,Multiple arrests.1,2007.1,http://sports.espn.go.com/nfl/news/story?id=2832015
T. Johnson,BAL.2,8.7,Personal conduct.10,"Arrest, possession of weapon",2006.2,http://profootballtalk.nbcsports.com/2014/06/24/artist-formerly-known-as-tank-johnson-friends-with-roger-goodell/
J. Blackmon,JAX.1,8.8,"Substance abuse, repeated offense.16",Unnamed: 208,2013.3,http://www.cbssports.com/nfl/eye-on-football/24171316/jaguars-wr-justin-blackmon-suspended-for-the-rest-of-2013-season
T. Couch,JAX.2,6,PEDs,Unnamed: 214,2007.2,http://www.nytimes.com/2007/10/05/sports/football/05nfl.html
K. Lang,DEN,6.1,PEDs.1,Unnamed: 220,2007.3,http://www.nytimes.com/2007/10/05/sports/football/05nfl.html
R. McBean,DEN.1,6.2,PEDs.2,"Alleged ""non-human"" urine in system",2012.1,http://espn.go.com/nfl/story/_/id/7667289/denver-broncos-dj-williams-ryan-mcbean-virgil-green-suspended
D.J. Williams,DEN.2,6.3,PEDs.3,"Alleged ""non-human"" urine in system.1",2012.2,http://espn.go.com/nfl/story/_/id/7667289/denver-broncos-dj-williams-ryan-mcbean-virgil-green-suspended
W. Hill,NYG.2,6.4,"Substance abuse, repeated offense.17",Unnamed: 238,2014.8,http://espn.go.com/new-york/nfl/story/_/id/11007693/will-hill-new-york-giants-suspended-six-games-violating-nfl-substance-abuse-policy
A. Haynesworth,TEN.2,5,In-game violence,Stomping on player,2006.3,http://sports.espn.go.com/nfl/news/story?id=2610577
B. Sochia,MIA.1,5.1,PEDs.4,Unnamed: 250,1990,http://articles.sun-sentinel.com/1990-08-24/sports/9002100425_1_alfred-oglesby-shula-brian-sochia
T. Pryor,OAK,5.2,Personal conduct.11,Improper gifts while in college,2011,http://espn.go.com/nfl/story/_/id/7040047/nfl-upholds-terrelle-pryor-5-game-ban-cites-integrity
M. Ariey,GB.3,4,PEDs.5,Unnamed: 262,1989.1,http://www.utsandiego.com/uniontrib/20080921/news_1s21nfl89.html
O. Ayanbadejo,CHI,4.1,PEDs.6,Unnamed: 268,2007.4,http://sports.espn.go.com/nfl/news/story?id=2967677
S. Bailey,STL,4.2,PEDs.7,Unnamed: 274,2014.9,http://www.nfl.com/news/story/0ap2000000349785/article/st-louis-rams-stedman-bailey-suspended-four-games
A. Barbre,CAR,4.3,PEDs.8,Unnamed: 280,2012.3,http://seattletimes.com/html/localnews/2018272778_apfbnseahawksbarbresuspended.html
T. Bennett,DET.1,4.4,PEDs.9,Unnamed: 286,2001.1,http://articles.latimes.com/2001/dec/15/sports/sp-15083
J. Black,WAS.2,4.5,PEDs.10,Unnamed: 292,2012.4,http://www.nfl.com/news/story/0ap1000000113061/article/jordan-black-of-redskins-suspended-four-games-for-peds
D. Blackstock,CIN.3,4.6,PEDs.11,Unnamed: 298,2008.1,http://sports.espn.go.com/nfl/news/story?id=3631111
B. Bolden,BAL.3,4.7,PEDs.12,Unnamed: 304,2012.5,http://www.nfl.com/news/story/0ap1000000092510/article/brandon-bolden-suspended-for-violating-drug-policy
D. Boston,MIA.2,4.8,PEDs.13,Unnamed: 310,2004,http://sports.espn.go.com/nfl/news/story?id=1939250
D. Bowe,KC,4.9,PEDs.14,Unnamed: 316,2009.1,http://sports.espn.go.com/nfl/news/story?id=4663877
D. Brown,HOU,4.10,PEDs.15,Unnamed: 322,2012.6,http://sports.espn.go.com/nfl/news/story?id=5600928
G. Brown,WAS.3,4.11,PEDs.16,Unnamed: 328,2014.10,http://www.nfl.com/news/story/0ap2000000051195/article/garrett-brown-of-san-diego-chargers-suspended-four-games
R. Buchanan,JAX.3,4.12,PEDs.17,Unnamed: 334,2002,http://a.espncdn.com/nfl/news/2002/0911/1430323.html
