Raiders at Jets 9/7/14,Unnamed: 1,
ADDR_STATE,% Sales,% Ticket Sold
NY,47%,45%
NJ,28%,31%
CT,5%,5%
PA,4%,4%
CA,3%,3%
,Unnamed: 15,
Bears at Jets 9/22/14,Unnamed: 17,
ADDR_STATE.1,% Sales.1,% Ticket Sold
NY.1,43%,43%
NJ,25%,28%
IL,9%,7%
CT,5%.1,4%
CA.1,2%,2%
,Unnamed: 31,
Lions at Jets 9/28/14,Unnamed: 33,
ADDR_STATE.2,% Sales.2,% Ticket Sold
NY.2,49%,49%
NJ,25%.1,28%
CT,5%.2,4%
MI,3%.1,3%
PA,2%.1,2%
.1,Unnamed: 47,
Broncos at Jets 10/12/14,Unnamed: 49,
ADDR_STATE.3,% Sales.3,% Ticket Sold
NY.3,44%,45%
NJ.1,23%,24%
CT,5%.3,5%
PA.1,4%.1,3%
QC,3%.2,3%
.1,Unnamed: 63,
Bills at Jets 10/26/14,Unnamed: 65,
ADDR_STATE.4,% Sales.4,% Ticket Sold
NY.4,55%,56%
NJ,23%.1,23%
CT,5%.4,5%
PA.2,2%.2,2%
CA,1%,1%
,Unnamed: 79,
Steelers at Jets 11/09/14,Unnamed: 81,
ADDR_STATE.5,% Sales.5,% Ticket Sold
NY.5,39%,40%
NJ,28%.1,30%
CT,8%,7%
PA,8%.1,9%
CA,2%.3,2%
.2,Unnamed: 95,
Miami at Jets 12/01/14,Unnamed: 97,
ADDR_STATE.6,% Sales.6,% Ticket Sold
NY.6,37%,38%
NJ,35%,38%
PA,5%.5,5%
CT,5%.6,5%
FL,4%.2,3%
.2,Unnamed: 111,
Patiots at Jets 12/21/14,Unnamed: 113,
ADDR_STATE.7,% Sales.7,% Ticket Sold
NY.7,38%,38%
NJ.1,24%,23%
CT.1,9%.1,9%
MA,7%,8%
PA,4%.3,3%.3
