Country,Number of Incidents,Percent,Number Killed,Number Injured,Number US Killed,Number US Injured
Afghanistan,20,0.40%,65,50,0,1
Albania,2,0.04%,0.1,2.1,0.2,0
Algeria,311,6.28%,602,126,0.3,0
Angola,34,0.69%,373,111,0.4,0
Antigua and Barbuda,1,0.02%,0.5,0.6,0.7,0
Argentina,15,0.30%,2.2,1.1,0.8,0
Armenia,6,0.12%,5,17,0.9,0
Australia,2.3,0.04%.1,0.10,0.11,0.12,0
Austria,9,0.18%,0.13,5.1,0.14,0
Azerbaijan,4,0.08%,16,0.15,0.16,0
Bangladesh,47,0.95%,40,853,0.17,0
Belarus,1.2,0.02%.1,0.18,0.19,0.20,0
Belgium,4.1,0.08%.1,2.4,3,0.21,0
Belize,1.3,0.02%.2,0.22,1.4,0.23,1
Bolivia,22,0.44%,2.5,1.5,0.24,0
Bosnia_Herzegovina,6.1,0.12%.1,7,8,0.25,0
Brazil,24,0.48%,97,29,10,0
Burundi,5.2,0.10%,106,0.26,0.27,0
Cambodia,216,4.36%,279,483,0.28,1
Cameroon,4.2,0.08%.2,10.1,2.6,0.29,0
Canada,7.1,0.14%,0.30,0.31,0.32,0
Chad,13,0.26%,233,276,0.33,0
Chile,82,1.66%,13.1,31,0.34,0
China,21,0.42%,7.2,21.1,0.35,0
Colombia,225,4.54%,256,406,0.36,1
Comoros,2.7,0.04%.2,4.3,0.37,0.38,0
Congo (Brazzaville),23,0.46%,106.1,5.3,0.39,0
Congo (Kinshasa),12,0.24%,7.3,20.1,0.40,0
Corsica,67,1.35%,1.6,2.8,0.41,0
Costa Rica,3.1,0.06%,0.42,0.43,0.44,0
Croatia,4.4,0.08%.3,0.45,9.1,0.46,0
Cuba,5.4,0.10%.1,2.9,0.47,0.48,0
Cyprus,4.5,0.08%.4,0.49,16.1,0.50,0
Czech Republic,1.7,0.02%.3,0.51,0.52,0.53,0
Denmark,6.2,0.12%.2,0.54,36,0.55,0
Djibouti,2.10,0.04%.3,0.56,7.4,0.57,0
Dominican Republic,2.11,0.04%.4,1.8,0.58,0.59,0
Ecuador,11,0.22%,13.2,7.5,0.60,0
Egypt,127,2.56%,132,214,3.2,3
El Salvador,33,0.67%,32,4.6,0.61,1
Estonia,5.5,0.10%.2,1.9,3.3,0.62,0
Ethiopia,2.12,0.04%.5,0.63,0.64,0.65,0
France,52,1.05%,5.6,9.2,0.66,0
Georgia,45,0.91%,194,96,1.10,0
Germany,198,4.00%,27,181,0.67,5
Greece,30,0.61%,0.68,1.11,0.69,0
Guadeloupe,2.13,0.04%.6,0.70,0.71,0.72,0
Guatemala,83,1.68%,27.1,9.3,0.73,2
Guinea,6.3,0.12%.3,12.1,50.1,0.74,0
Guinea_Bissau,1.12,0.02%.4,1.13,0.75,0.76,0
Haiti,67.1,1.35%.1,36.1,50.2,0.77,5
Honduras,5.7,0.10%.3,1.14,4.7,0.78,0
Hong Kong,4.8,0.08%.5,4.9,5.8,0.79,0
Hungary,3.4,0.06%.1,0.80,0.81,0.82,0
India,249,5.03%,1219,2546,0.83,0
Indonesia,3.5,0.06%.2,7.6,1.15,0.84,0
Iran,47.1,0.95%.1,78,41,0.85,0
Iraq,18,0.36%,33.1,59,0.86,0
Ireland,4.10,0.08%.6,1.16,1.17,0.87,0
Israel,240,4.84%,142,297,0.88,0
Italy,30.1,0.61%.1,14,126.1,0.89,0
Jamaica,20.2,0.40%.1,15.1,17.1,0.90,1
Japan,45.1,0.91%.1,1.18,1.19,0.91,0
Jordan,1.20,0.02%.5,1.21,0.92,0.93,0
Kenya,25,0.50%,53,17.2,0.94,1
Kuwait,5.9,0.10%.4,1.22,0.95,0.96,0
Laos,1.23,0.02%.6,0.97,2.14,0.98,0
Latvia,1.24,0.02%.7,0.99,0.100,0.101,0
Lebanon,64,1.29%,51,174,0.102,0
Liberia,1.25,0.02%.8,0.103,1.26,0.104,1
Lithuania,3.6,0.06%.3,1.27,2.15,0.105,0
Malawi,1.28,0.02%.9,16.2,0.106,0.107,0
Malaysia,2.16,0.04%.7,0.108,0.109,0.110,0
Mali,8.1,0.16%,5.10,0.111,0.112,0
Mauritania,1.29,0.02%.10,0.113,2.17,0.114,0
Mexico,17.3,0.34%,47.2,22.1,1.30,1
Mozambique,8.2,0.16%.1,3.7,10.2,0.115,0
Myanmar (Burma),20.3,0.40%.2,147,70,0.116,0
Nepal,2.18,0.04%.8,0.117,0.118,0.119,0
Netherlands,3.8,0.06%.4,0.120,0.121,0.122,0
Netherlands Antilles,2.19,0.04%.9,0.123,0.124,0.125,0
New Zealand,1.31,0.02%.11,0.126,0.127,0.128,0
Nicaragua,53.1,1.07%,87,125,0.129,2
Niger,7.7,0.14%.1,5.11,0.130,0.131,0
Nigeria,17.4,0.34%.1,6.4,12.2,0.132,3
Northern Ireland,165,3.33%,73,175,0.133,0
Norway,7.8,0.14%.2,0.134,1.32,0.135,0
Pakistan,100,2.02%,228,302,0.136,0
Panama,18.1,0.36%.1,1.33,6.5,0.137,1
Papua New Guinea,7.9,0.14%.3,43,13.3,0.138,0
Paraguay,3.9,0.06%.5,3.10,0.139,0.140,0
Peru,334,6.74%,316,307,0.141,0
Philippines,198.1,4.00%.1,346,514,0.142,2
Poland,3.11,0.06%.6,0.143,3.12,0.144,2
Portugal,1.34,0.02%.12,0.145,0.146,0.147,0
Romania,1.35,0.02%.13,0.148,0.149,0.150,0
Russia,32.1,0.65%,203,841,1.36,5
Rwanda,13.4,0.26%.1,81,155,0.151,0
Senegal,6.6,0.12%.4,121,0.152,0.153,0
Sierra Leone,4.11,0.08%.7,30.2,9.4,0.154,0
Singapore,1.37,0.02%.14,0.155,1.38,0.156,0
Somalia,74,1.49%,115,293,28,124
South Africa,426,8.60%,1009,631,1.39,0
South Korea,4.12,0.08%.8,0.157,1.40,0.158,0
Spain,50.3,1.01%,19,37,0.159,0
Sri Lanka,29.1,0.59%,1268,380,0.160,0
Sudan,2.20,0.04%.10,0.161,0.162,0.163,0
Suriname,4.13,0.08%.9,0.164,2.21,0.165,0
Swaziland,1.41,0.02%.15,0.166,1.42,0.167,0
Sweden,5.12,0.10%.5,0.168,1.43,0.169,0
Switzerland,12.3,0.24%.1,2.22,9.5,0.170,0
Taiwan,5.13,0.10%.6,34.1,57,0.171,0
Tajikistan,14.1,0.28%,373.1,19.1,0.172,0
Tanzania,6.7,0.12%.5,0.173,1.44,0.174,1
Thailand,67.2,1.35%.2,34.2,97.1,0.175,0
Togo,13.5,0.26%.2,1.45,11.1,0.176,0
Trinidad and Tobago,2.23,0.04%.11,0.177,0.178,0.179,0
Turkey,386,7.79%,1166,403,0.180,0
Uganda,4.14,0.08%.10,2.24,1.46,0.181,0
United Kingdom,59.1,1.19%,3.13,133,0.182,0
United States,28.1,0.57%,21.2,1066,0.183,1048
Uruguay,4.15,0.08%.11,1.47,0.184,0.185,0
Venezuela,49,0.99%,2.25,13.6,0.186,0
Vietnam,2.26,0.04%.12,0.187,1.48,0.188,0
Yemen,23.1,0.46%.1,12.4,7.10,0.189,2
Yugoslavia,5.14,0.10%.7,1.49,5.15,0.190,0
Zambia,1.50,0.02%.16,0.191,0.192,0.193,0
,Unnamed: 769,Unnamed: 770,Unnamed: 771,Unnamed: 772,Unnamed: 773,
,Unnamed: 775,Unnamed: 776,Unnamed: 777,Unnamed: 778,Unnamed: 779,Unnamed: 780
