date,major_category,detail
6/16/15,Noncampaign,
6/17/15,Trump - other,Entry into race
6/18/15,Noncampaign.1,
6/19/15,Noncampaign.2,
6/20/15,Noncampaign.3,
6/21/15,Noncampaign.4,
6/22/15,Noncampaign.5,
6/23/15,Noncampaign.6,
6/24/15,Noncampaign.7,
6/25/15,Noncampaign.8,
6/26/15,Noncampaign.9,
6/27/15,Noncampaign.10,
6/28/15,Noncampaign.11,
6/29/15,Noncampaign.12,
6/30/15,Noncampaign.13,
7/1/15,Trump - polls,Polls - neutral or ambiguous results for Trump
7/2/15,Trump - polls.1,Polls - neutral or ambiguous results for Trump
7/3/15,Noncampaign.14,
7/4/15,Noncampaign.15,
7/5/15,Trump - comments,Trump's comments on Mexican immigrants
7/6/15,Noncampaign.16,
7/7/15,Noncampaign.17,
7/8/15,Dem. campaign,Clinton
7/9/15,Trump - vs. GOP,Trump vs. GOP establishment
7/10/15,GOP campaign,Cruz
7/11/15,Noncampaign.18,
7/12/15,Trump - other.1,Trump Las Vegas speech
7/13/15,GOP campaign.1,Walker
7/14/15,Noncampaign.19,
7/15/15,Trump - polls.2,Polls - good results for Trump
7/16/15,Trump - vs. GOP.1,John McCain criticism of Trump
7/17/15,Noncampaign.20,
7/18/15,Noncampaign.21,
7/19/15,Trump - comments.1,Trump comments on McCain's time as POW
7/20/15,Trump - comments.2,Trump comments on McCain's time as POW
7/21/15,Trump - comments.3,Trump comments on McCain's time as POW
7/22/15,Noncampaign.22,
7/23/15,Trump - vs. GOP.2,Trump threatens third-party run
7/24/15,Dem. campaign.1,Clinton
7/25/15,Dem. campaign.2,Clinton
7/26/15,Trump - polls.3,Polls - good results for Trump
7/27/15,GOP campaign.2,Rubio
7/28/15,Trump - other.2,"Michael Cohen (Trump advisor) ""rape"" comments
7/29/15",Trump - other.3,Ivana Trump comments about Trump
7/30/15,Trump - polls.4,Polls - good results for Trump
7/31/15,Dem. campaign.3,Clinton
8/1/15,Dem. campaign.4,Clinton
8/2/15,Trump - polls.5,Polls - good results for Trump
8/3/15,Trump - other.4,Trump vs. Bush
8/4/15,Trump - polls.6,Polls - good results for Trump
8/5/15,Dem. campaign.5,Clinton
8/6/15,Dem. campaign.6,Clinton
8/7/15,Trump - comments.4,Trump comments on Megyn Kelly
8/8/15,Trump - comments.5,Trump comments on Megyn Kelly
8/9/15,Trump - comments.6,Trump comments on Megyn Kelly
